"subject","chapter","topic","deck_id","deck_slug","deck_title","deck_description","card_number","card_id","card_slug","card_type","front","back","hint","explanation","tags","estimated_time"
"subject","chapter","topic","deck_id","deck_slug","deck_title","deck_description","card_number","card_id","card_slug","card_type","front","back","hint","explanation","tags","estimated_time"
"Biology","Evolutionary Biology","Origin of life","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","1","biology-evolutionary-biology-001","origin-of-life-definition","basic","What is meant by origin of life?","Origin of life refers to the process by which the first living organisms arose from non-living chemical substances on early Earth.","Think of life beginning from chemicals.","CEE commonly asks the meaning of origin of life and the difference between chemical evolution and biological evolution.","origin of life","12 min"
"Biology","Evolutionary Biology","Origin of life","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","2","biology-evolutionary-biology-002","early-earth-atmosphere","basic","What was the nature of the early Earth atmosphere according to chemical evolution?","The early atmosphere was reducing and lacked free oxygen. It contained gases like methane, ammonia, hydrogen, and water vapour.","Remember no free oxygen.","This reducing atmosphere allowed organic molecules to form without being oxidized immediately.","origin of life","12 min"
"Biology","Evolutionary Biology","Oparin-Haldane theory","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","3","biology-evolutionary-biology-003","oparin-haldane-theory","basic","What is the main idea of the Oparin-Haldane theory?","Life originated gradually from simple inorganic molecules through chemical evolution, forming organic molecules and then primitive cells.","Think chemical evolution first.","It explains life as a stepwise natural process, not sudden creation.","oparin haldane","12 min"
"Biology","Evolutionary Biology","Oparin-Haldane theory","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","4","biology-evolutionary-biology-004","primordial-soup","basic","What is primordial soup?","Primordial soup refers to the ocean water of early Earth rich in simple organic molecules formed by chemical reactions.","Soup means mixture of organic molecules.","Organic molecules accumulated in water and provided material for the first life forms.","oparin haldane","12 min"
"Biology","Evolutionary Biology","Oparin-Haldane theory","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","5","biology-evolutionary-biology-005","coacervates","basic","What are coacervates?","Coacervates are droplets of organic molecules surrounded by water molecules, considered possible precursors of primitive cells.","They are not true cells.","Coacervates show cell-like organization but lack true cellular structure and heredity.","oparin haldane","12 min"
"Biology","Evolutionary Biology","Miller-Urey experiment","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","6","biology-evolutionary-biology-006","miller-urey-purpose","basic","What did the Miller-Urey experiment demonstrate?","It demonstrated that simple organic molecules like amino acids could form from inorganic gases under early Earth-like conditions.","Remember artificial lightning.","This experiment gave experimental support to chemical evolution.","miller urey","12 min"
"Biology","Evolutionary Biology","Miller-Urey experiment","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","7","biology-evolutionary-biology-007","miller-urey-gases","basic","Which gases were used in the Miller-Urey experiment?","Methane, ammonia, hydrogen, and water vapour were used to simulate the reducing atmosphere of early Earth.","Think CH4, NH3, H2, H2O.","These gases represented the proposed early atmosphere in chemical evolution.","miller urey","12 min"
"Biology","Evolutionary Biology","Miller-Urey experiment","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","8","biology-evolutionary-biology-008","miller-urey-electric-spark","basic","Why was an electric spark used in the Miller-Urey experiment?","The electric spark simulated lightning, which provided energy for chemical reactions.","Energy source is the key.","Lightning helped convert simple gases into organic compounds.","miller urey","12 min"
"Biology","Evolutionary Biology","Evidences of evolution","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","9","biology-evolutionary-biology-009","evidence-of-evolution","basic","What are evidences of evolution?","Evidences of evolution are observations from fossils, anatomy, morphology, embryology, and biochemistry that support common ancestry and gradual change.","Think proof of common ancestry.","CEE often asks examples of different evidences rather than long theory.","evidence","12 min"
"Biology","Evolutionary Biology","Morphological evidence","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","10","biology-evolutionary-biology-010","morphological-evidence","basic","How does morphology support evolution?","Similarities in external form among organisms suggest common ancestry or adaptation to similar environments.","Morphology means external form.","Example: streamlined bodies of aquatic animals show adaptation to water.","morphology","12 min"
"Biology","Evolutionary Biology","Anatomical evidence","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","11","biology-evolutionary-biology-011","homologous-organs","basic","What are homologous organs?","Homologous organs have the same basic structure and origin but perform different functions.","Same origin, different function.","Forelimbs of human, whale, bat, and horse are classic examples.","anatomy","12 min"
"Biology","Evolutionary Biology","Anatomical evidence","biology-evolutionary-biology","evolutionary-biology","Evolutionary Biology","High-yield Biology flashcards for Evolutionary Biology: origin of life, evidences, theories, and human evolution.","12","biology-evolutionary-biology-012","homologous-evolution","basic","Homologous organs support which type of evolution?","Homologous organs support divergent evolution.","Same structure becomes different.","Divergent evolution occurs when related organisms adapt to different environments.","anatomy","12 min"
